Country,Year,Population
Australia,1950,8176751
Australia,1951,8418616
Australia,1952,8630707
Australia,1953,8816085
Australia,1954,8999384
Australia,1955,9205189
Australia,1956,9424660
Australia,1957,9638773
Australia,1958,9847636
Australia,1959,10060033
Australia,1960,10280815
Australia,1961,10500441
Australia,1962,10707235
Australia,1963,10913270
Australia,1964,11128257
Australia,1965,11357479
Australia,1966,11592485
Australia,1967,11810521
Australia,1968,12030009
Australia,1969,12272387
Australia,1970,12599414
Australia,1971,12997963
Australia,1972,13304897
Australia,1973,13518689
Australia,1974,13719499
Australia,1975,13893988
Australia,1976,14046758
Australia,1977,14203511
Australia,1978,14367099
Australia,1979,14533034
Australia,1980,14721345
Australia,1981,14949210
Australia,1982,15192484
Australia,1983,15414891
Australia,1984,15620653
Australia,1985,15835743
Australia,1986,16069631
Australia,1987,16322272
Australia,1988,16594104
Australia,1989,16869362
Australia,1990,17126304
Australia,1991,17353191
Australia,1992,17549286
Australia,1993,17722905
Australia,1994,17897433
Australia,1995,18095340
Australia,1996,18305305
Australia,1997,18504911
Australia,1998,18701710
Australia,1999,18909980
Australia,2000,19132472
Australia,2001,19365438
Australia,2002,19595356
Australia,2003,19819449
Australia,2004,20046679
Australia,2005,20294490
Australia,2006,20590566
Australia,2007,20954545
Australia,2008,21370595
Australia,2009,21783014
Australia,2010,22141583
Australia,2011,22479779
Australia,2012,22852648
Australia,2013,23236271
Australia,2014,23595599
Australia,2015,23947997
Australia,2016,24329963
Australia,2017,24731044
Australia,2018,25119700
Australia,2019,25482714
Australia,2020,25743787
Australia,2021,25956417
Australia,2022,26200987
Australia,2023,26451126
