Entity,Code,Year,All meat - Production (tonnes)
Africa,OWID_AFR,1961,3909680.5
Africa,OWID_AFR,1962,3957753
Africa,OWID_AFR,1963,4055428.2
Africa,OWID_AFR,1964,4212714
Africa,OWID_AFR,1965,4343240.5
Africa,OWID_AFR,1966,4497575.5
Africa,OWID_AFR,1967,4592050
Africa,OWID_AFR,1968,4765848
Africa,OWID_AFR,1969,4969266
Africa,OWID_AFR,1970,5068574
Africa,OWID_AFR,1971,5136041.5
Africa,OWID_AFR,1972,5298013.5
Africa,OWID_AFR,1973,5382521.5
Africa,OWID_AFR,1974,5404675.5
Africa,OWID_AFR,1975,5473154
Africa,OWID_AFR,1976,5748805.5
Africa,OWID_AFR,1977,6023729
Africa,OWID_AFR,1978,6333949.5
Africa,OWID_AFR,1979,6510897.5
Africa,OWID_AFR,1980,6720095.5
Africa,OWID_AFR,1981,6829369.5
Africa,OWID_AFR,1982,7072634
Africa,OWID_AFR,1983,7330317.5
Africa,OWID_AFR,1984,7579792.5
Africa,OWID_AFR,1985,7741190.5
Africa,OWID_AFR,1986,7746064
Africa,OWID_AFR,1987,7922975.5
Africa,OWID_AFR,1988,8105111
Africa,OWID_AFR,1989,8404053
Africa,OWID_AFR,1990,8813862
Africa,OWID_AFR,1991,9479732
Africa,OWID_AFR,1992,9734482
Africa,OWID_AFR,1993,9599630
Africa,OWID_AFR,1994,9738197
Africa,OWID_AFR,1995,10092283
Africa,OWID_AFR,1996,10432824
Africa,OWID_AFR,1997,11184151
Africa,OWID_AFR,1998,11250162
Africa,OWID_AFR,1999,11765898
Africa,OWID_AFR,2000,11989037
Africa,OWID_AFR,2001,12428125
Africa,OWID_AFR,2002,12980529
Africa,OWID_AFR,2003,13114208
Africa,OWID_AFR,2004,13401554
Africa,OWID_AFR,2005,13964596
Africa,OWID_AFR,2006,14303879
Africa,OWID_AFR,2007,15032875
Africa,OWID_AFR,2008,15634825
Africa,OWID_AFR,2009,16140888
Africa,OWID_AFR,2010,16972774
Africa,OWID_AFR,2011,17380004
Africa,OWID_AFR,2012,17541300
Africa,OWID_AFR,2013,18362108
Africa,OWID_AFR,2014,18805282
Africa,OWID_AFR,2015,19490094
Africa,OWID_AFR,2016,19299054
Africa,OWID_AFR,2017,19902004
Africa,OWID_AFR,2018,20617062
Africa,OWID_AFR,2019,21236394
Africa,OWID_AFR,2020,21814874
Africa,OWID_AFR,2021,22594306
Africa,OWID_AFR,2022,22616616
Africa,OWID_AFR,2023,23116402
Africa,OWID_AFR,2024,24162200
Asia,OWID_ASI,1961,9034635
Asia,OWID_ASI,1962,9903224
Asia,OWID_ASI,1963,11675245
Asia,OWID_ASI,1964,13275711
Asia,OWID_ASI,1965,14414256
Asia,OWID_ASI,1966,15318537
Asia,OWID_ASI,1967,15974712
Asia,OWID_ASI,1968,16205370
Asia,OWID_ASI,1969,16464766
Asia,OWID_ASI,1970,16952140
Asia,OWID_ASI,1971,18352532
Asia,OWID_ASI,1972,19545554
Asia,OWID_ASI,1973,20071022
Asia,OWID_ASI,1974,20662462
Asia,OWID_ASI,1975,21063530
Asia,OWID_ASI,1976,21365440
Asia,OWID_ASI,1977,22065722
Asia,OWID_ASI,1978,23763536
Asia,OWID_ASI,1979,26768760
Asia,OWID_ASI,1980,28597604
Asia,OWID_ASI,1981,29900184
Asia,OWID_ASI,1982,31735568
Asia,OWID_ASI,1983,33005648
Asia,OWID_ASI,1984,35421616
Asia,OWID_ASI,1985,38414108
Asia,OWID_ASI,1986,40335828
Asia,OWID_ASI,1987,43065336
Asia,OWID_ASI,1988,46041904
Asia,OWID_ASI,1989,48058136
Asia,OWID_ASI,1990,50851350
Asia,OWID_ASI,1991,53302908
Asia,OWID_ASI,1992,59988068
Asia,OWID_ASI,1993,64475668
Asia,OWID_ASI,1994,69863544
Asia,OWID_ASI,1995,76626650
Asia,OWID_ASI,1996,72416870
Asia,OWID_ASI,1997,80095830
Asia,OWID_ASI,1998,84768240
Asia,OWID_ASI,1999,87809624
Asia,OWID_ASI,2000,89520360
Asia,OWID_ASI,2001,91783450
Asia,OWID_ASI,2002,94692410
Asia,OWID_ASI,2003,98208720
Asia,OWID_ASI,2004,100481260
Asia,OWID_ASI,2005,104938810
Asia,OWID_ASI,2006,108648960
Asia,OWID_ASI,2007,108130480
Asia,OWID_ASI,2008,113422720
Asia,OWID_ASI,2009,118917350
Asia,OWID_ASI,2010,123004410
Asia,OWID_ASI,2011,124776100
Asia,OWID_ASI,2012,131173410
Asia,OWID_ASI,2013,135158370
Asia,OWID_ASI,2014,138553460
Asia,OWID_ASI,2015,141238700
Asia,OWID_ASI,2016,141540050
Asia,OWID_ASI,2017,144399400
Asia,OWID_ASI,2018,145142700
Asia,OWID_ASI,2019,137568860
Asia,OWID_ASI,2020,138451860
Asia,OWID_ASI,2021,152065650
Asia,OWID_ASI,2022,157882560
Asia,OWID_ASI,2023,163518180
Asia,OWID_ASI,2024,164935580
Europe,OWID_EUR,1961,29454630
Europe,OWID_EUR,1962,31015250
Europe,OWID_EUR,1963,31889974
Europe,OWID_EUR,1964,30686422
Europe,OWID_EUR,1965,33402414
Europe,OWID_EUR,1966,34716332
Europe,OWID_EUR,1967,36654212
Europe,OWID_EUR,1968,37970330
Europe,OWID_EUR,1969,38291410
Europe,OWID_EUR,1970,40084132
Europe,OWID_EUR,1971,42315988
Europe,OWID_EUR,1972,43139124
Europe,OWID_EUR,1973,43988784
Europe,OWID_EUR,1974,47581340
Europe,OWID_EUR,1975,48416270
Europe,OWID_EUR,1976,47053676
Europe,OWID_EUR,1977,49260710
Europe,OWID_EUR,1978,51348236
Europe,OWID_EUR,1979,52937332
Europe,OWID_EUR,1980,53437572
Europe,OWID_EUR,1981,53334436
Europe,OWID_EUR,1982,53348670
Europe,OWID_EUR,1983,55008840
Europe,OWID_EUR,1984,56641210
Europe,OWID_EUR,1985,57230316
Europe,OWID_EUR,1986,58686860
Europe,OWID_EUR,1987,60519660
Europe,OWID_EUR,1988,61539972
Europe,OWID_EUR,1989,61399716
Europe,OWID_EUR,1990,62620950
Europe,OWID_EUR,1991,60739484
Europe,OWID_EUR,1992,55353148
Europe,OWID_EUR,1993,53588468
Europe,OWID_EUR,1994,51973790
Europe,OWID_EUR,1995,51169212
Europe,OWID_EUR,1996,51377744
Europe,OWID_EUR,1997,50441364
Europe,OWID_EUR,1998,51747668
Europe,OWID_EUR,1999,51403544
Europe,OWID_EUR,2000,51392740
Europe,OWID_EUR,2001,50915720
Europe,OWID_EUR,2002,52331164
Europe,OWID_EUR,2003,52209036
Europe,OWID_EUR,2004,51900780
Europe,OWID_EUR,2005,51971916
Europe,OWID_EUR,2006,51744640
Europe,OWID_EUR,2007,53942384
Europe,OWID_EUR,2008,54148028
Europe,OWID_EUR,2009,54727090
Europe,OWID_EUR,2010,56636550
Europe,OWID_EUR,2011,57617076
Europe,OWID_EUR,2012,58055376
Europe,OWID_EUR,2013,58157550
Europe,OWID_EUR,2014,59071796
Europe,OWID_EUR,2015,61035908
Europe,OWID_EUR,2016,62447940
Europe,OWID_EUR,2017,62750548
Europe,OWID_EUR,2018,64149460
Europe,OWID_EUR,2019,64491110
Europe,OWID_EUR,2020,64056204
Europe,OWID_EUR,2021,65125932
Europe,OWID_EUR,2022,64130316
Europe,OWID_EUR,2023,62850124
Europe,OWID_EUR,2024,64505480
North America,OWID_NAM,1961,19582326
North America,OWID_NAM,1962,19770852
North America,OWID_NAM,1963,20757328
North America,OWID_NAM,1964,22046130
North America,OWID_NAM,1965,21866078
North America,OWID_NAM,1966,22777450
North America,OWID_NAM,1967,23840084
North America,OWID_NAM,1968,24350612
North America,OWID_NAM,1969,24607134
North America,OWID_NAM,1970,25562930
North America,OWID_NAM,1971,26458136
North America,OWID_NAM,1972,26455826
North America,OWID_NAM,1973,25513914
North America,OWID_NAM,1974,27032352
